Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Texas,Midland Odessa,8,2,2015,84.6
South/Central America & Carribean,Nicaragua,,Managua,3,14,2008,81.5
North America,Mexico,,Guadalajara,11,24,2016,61.9
Asia,Pakistan,,Karachi,11,7,2018,77.2
North America,US,Connecticut,Bridgeport,8,21,2016,79.1
North America,US,Virginia,Norfolk,2,18,2010,38.7
Africa,Gambia,,Banjul,5,10,2005,83.8
South/Central America & Carribean,Belize,,Belize City,4,27,2016,84.8
North America,US,Kentucky,Louisville,9,24,1997,61.4
North America,US,Kansas,Topeka,8,11,2005,85.3
Middle East,Kuwait,,Kuwait,1,12,1999,56.5
North America,US,Vermont,Burlington,3,25,2018,30.9
Middle East,Saudi Arabia,,Riyadh,1,31,2016,49.4
North America,US,Nebraska,Omaha,2,15,2004,3.6
North America,US,Virginia,Richmond,3,16,2013,53.9
Africa,Burundi,,Bujumbura,4,30,1999,-99.0
North America,US,Colorado,Grand Junction,9,5,2013,82.0
Europe,Austria,,Vienna,11,6,2019,49.0
North America,US,Iowa,Des Moines,1,28,2010,10.2
North America,Canada,,Regina,3,7,2007,11.2
Middle East,Syria,,Damascus,4,14,2016,59.1
Asia,Singapore,,Singapore,11,6,1997,82.6
North America,US,Alabama,Montgomery,12,23,1998,38.2
North America,US,Wisconsin,Milwaukee,1,7,2017,6.1
North America,US,Kansas,Goodland,1,15,2005,8.5
South/Central America & Carribean,Cuba,,Havana,4,11,2006,75.1
North America,US,Kentucky,Louisville,8,31,2017,76.4
Middle East,Jordan,,Amman,1,23,2007,47.1
Europe,Denmark,,Copenhagen,2,21,2006,33.5
Africa,Uganda,,Kampala,12,24,2007,74.7
North America,US,Iowa,Des Moines,7,10,2003,71.9
Africa,Mozambique,,Maputo,7,30,2002,71.0
North America,Mexico,,Mexico City,3,15,2005,61.1
North America,US,Texas,Austin,11,27,2010,40.3
Europe,France,,Paris,7,8,2004,62.4
Europe,Macedonia,,Skopje,12,28,2012,33.3
Europe,The Netherlands,,Amsterdam,12,9,1995,29.2
South/Central America & Carribean,Equador,,Guayaquil,11,16,2004,76.8
Middle East,Turkey,,Ankara,5,17,1996,56.5
North America,US,Ohio,Cincinnati,8,13,2014,68.4
North America,US,Arkansas,Fort Smith,12,9,1997,39.9
Asia,India,,Chennai (Madras),4,8,2020,87.5
Asia,India,,Delhi,9,21,1998,82.9
North America,US,Alabama,Montgomery,11,29,2004,52.0
Middle East,United Arab Emirates,,Dubai,12,19,1999,70.4
South/Central America & Carribean,Suriname,,Paramaribo,3,1,2001,76.0
North America,US,Arizona,Phoenix,4,2,2011,83.1
North America,US,Arkansas,Fort Smith,9,26,2012,82.1
North America,US,Louisiana,Baton Rouge,8,25,2006,78.4
Asia,China,,Guangzhou,4,5,2011,66.6
North America,US,Florida,Tampa St. Petersburg,7,25,2009,84.1
South/Central America & Carribean,Bermuda,,Hamilton,8,8,2008,82.2
Europe,Albania,,Tirana,8,21,2010,79.3
North America,US,Ohio,Cleveland,11,27,2001,49.9
North America,US,Oregon,Portland,5,3,1996,45.5
North America,US,West Virginia,Elkins,11,13,1996,25.2
North America,US,Illinois,Rockford,7,5,2001,68.4
North America,US,Ohio,Toledo,1,28,2001,19.8
Australia/South Pacific,New Zealand,,Auckland,5,31,2008,52.8
North America,US,Maine,Portland,11,28,2005,36.0
North America,Canada,,Montreal,1,20,2005,5.1
Europe,Slovakia,,Bratislava,9,10,2012,71.3
Africa,Benin,,Cotonou,1,22,2001,82.6
North America,US,Idaho,Boise,4,22,2000,58.8
North America,US,Georgia,Atlanta,4,1,2013,62.5
North America,US,Ohio,Cincinnati,8,17,2005,75.2
North America,US,Montana,Helena,8,17,2006,60.3
South/Central America & Carribean,Guyana,,Georgetown,8,7,2005,80.2
Europe,Bulgaria,,Sofia,12,22,2005,25.0
North America,US,Florida,Miami Beach,12,20,2012,74.6
North America,US,Alabama,Montgomery,9,1,2008,82.2
South/Central America & Carribean,Suriname,,Paramaribo,4,5,2001,77.5
North America,US,Ohio,Youngstown,11,25,1995,27.2
